day	player	team	roule	vote	GF	GS
1	Vertonghen	Spurs	DEF	3,1	1	0
1	Koscielny	Arsenal	DEF	6,1	0	0
1	Milner	Liverpool	DEF	3	1	0
1	Bailly	Man Utd	DEF	6,6	0	0
1	Sanchez	Spurs	DEF	4,8	0	0
1	Bellerin	Arsenal	DEF	8,7	1	0
1	Zappacosta	Chelsea	DEF	9,5	1	0
1	Kompany	Man City	DEF	6,5	0	0
1	Aurier	Spurs	DEF	5,6	0	0
1	Kolasinac	Arsenal	DEF	2,9	1	0
1	Rudiger	Chelsea	DEF	2	1	0
1	Alderweireld	Spurs	DEF	4,5	1	0
1	Davies	Spurs	DEF	9,6	0	0
1	Monreal	Arsenal	DEF	8,9	1	0
1	David Luiz	Chelsea	DEF	4,5	1	0
1	Baines	Everton	DEF	9,9	0	0
1	van Dijk	Liverpool	DEF	9,4	1	0
1	Smalling	Man Utd	DEF	6,9	1	0
1	Mustafi	Arsenal	DEF	4,3	0	0
1	Maguire	Leicester	DEF	8,2	1	0
1	Jones	Man Utd	DEF	4,6	0	0
1	Matip	Liverpool	DEF	5,1	1	0
1	Rojo	Man Utd	DEF	4,5	1	0
1	Zouma	Stoke	DEF	6,3	0	0
1	Christensen	Chelsea	DEF	7,9	0	0
1	Keane	Everton	DEF	9,6	0	0
1	Lovren	Liverpool	DEF	9,2	1	0
1	Clyne	Liverpool	DEF	3,3	0	0
1	Stones	Man City	DEF	7,3	0	0
1	Bertrand	Southampton	DEF	5,6	0	0
1	Emerson	Chelsea	DEF	3,7	1	0
1	van Aanholt	Crystal Palace	DEF	2,9	1	0
1	Williams	Everton	DEF	7,7	1	0
1	Trippier	Spurs	DEF	7,9	0	0
1	Laporte	Man City	DEF	7,5	0	0
1	Blind	Man Utd	DEF	6,1	1	0
1	Mawson	Swansea	DEF	6,5	0	0
1	Ake	Bournemouth	DEF	6,9	1	0
1	Mangala	Everton	DEF	7,1	0	0
1	Robertson	Liverpool	DEF	2,8	0	0
1	Danilo	Man City	DEF	7,8	1	0
1	Hoedt	Southampton	DEF	5,1	1	0
1	Olsson	Swansea	DEF	6	0	0
1	Gibbs	West Brom	DEF	9,2	1	0
1	Mee	Burnley	DEF	3	0	0
1	Funes Mori	Everton	DEF	4,7	0	0
1	Dragovic	Leicester	DEF	9,7	0	0
1	Darmian	Man Utd	DEF	9,4	1	0
1	Lindelof	Man Utd	DEF	2,1	1	0
1	Lascelles	Newcastle	DEF	4,1	0	0
1	Martins Indi	Stoke	DEF	9,6	1	0
1	Evans	West Brom	DEF	7	1	0
1	Cresswell	West Ham	DEF	2,1	0	0
1	Zabaleta	West Ham	DEF	3,6	0	0
1	Adam Smith	Bournemouth	DEF	2,9	0	0
1	Ward	Burnley	DEF	7,4	0	0
1	Huth	Leicester	DEF	2,7	0	0
1	Shaw	Man Utd	DEF	6,9	1	0
1	Shawcross	Stoke	DEF	6,6	0	0
1	Holebas	Watford	DEF	9,9	0	0
1	Janmaat	Watford	DEF	4,4	0	0
1	Dawson	West Brom	DEF	9,1	0	0
1	Reid	West Ham	DEF	3,2	1	0
1	Mertesacker	Arsenal	DEF	8,1	0	0
1	Chambers	Arsenal	DEF	3,7	1	0
1	Daniels	Bournemouth	DEF	9,5	1	0
1	Ward	Crystal Palace	DEF	8,9	0	0
1	Schlupp	Crystal Palace	DEF	8,5	0	0
1	Jagielka	Everton	DEF	3,5	0	0
1	Smith	Huddersfield	DEF	2,9	0	0
1	Fuchs	Leicester	DEF	2,1	1	0
1	Cedric	Southampton	DEF	9,7	1	0
1	Pieters	Stoke	DEF	3,3	1	0
1	Nyom	West Brom	DEF	4,7	0	0
1	Steve Cook	Bournemouth	DEF	5,5	1	0
1	Duffy	Brighton	DEF	8,6	1	0
1	Tarkowski	Burnley	DEF	4,7	1	0
1	Dann	Crystal Palace	DEF	8,1	0	0
1	Sakho	Crystal Palace	DEF	8,5	0	0
1	Riedewald	Crystal Palace	DEF	9,7	1	0
1	Schindler	Huddersfield	DEF	6,1	0	0
1	Yoshida	Southampton	DEF	5,5	1	0
1	Naughton	Swansea	DEF	3,4	0	0
1	Hegazi	West Brom	DEF	3	0	0
1	Dunk	Brighton	DEF	2,5	1	0
1	Bruno	Brighton	DEF	3,9	0	0
1	Sterling	Chelsea	DEF	3,5	1	0
1	Souare	Crystal Palace	DEF	4,1	0	0
1	Hadergjonaj	Huddersfield	DEF	7,7	1	0
1	Zanka	Huddersfield	DEF	2,9	1	0
1	Gomez	Liverpool	DEF	7	0	0
1	Yedlin	Newcastle	DEF	2,8	0	0
1	Stephens	Southampton	DEF	8,9	1	0
1	Bauer	Stoke	DEF	2,3	1	0
1	Fernandez	Swansea	DEF	7,5	0	0
1	Foyth	Spurs	DEF	9,1	0	0
1	Wague	Watford	DEF	2,1	1	0
1	McAuley	West Brom	DEF	2,1	1	0
1	Holding	Arsenal	DEF	3,7	0	0
1	Schelotto	Brighton	DEF	7,8	0	0
1	Bong	Brighton	DEF	8,4	1	0
1	Lowton	Burnley	DEF	3,3	1	0
1	Fosu-Mensah	Crystal Palace	DEF	9,5	1	0
1	Tomkins	Crystal Palace	DEF	3,2	1	0
1	Kongolo	Huddersfield	DEF	8,2	0	0
1	Lowe	Huddersfield	DEF	3,9	0	0
1	Morgan	Leicester	DEF	8,9	0	0
1	Chilwell	Leicester	DEF	9,6	1	0
1	Alexander-Arnold	Liverpool	DEF	8,3	1	0
1	van der Hoorn	Swansea	DEF	3,3	0	0
1	Cathcart	Watford	DEF	7,3	1	0
1	Kabasele	Watford	DEF	5,7	1	0
1	Rice	West Ham	DEF	4,3	1	0
1	Francis	Bournemouth	DEF	9,7	0	0
1	Malone	Huddersfield	DEF	9	1	0
1	Simpson	Leicester	DEF	2,7	1	0
1	Moreno	Liverpool	DEF	7,3	1	0
1	Clark	Newcastle	DEF	3,5	0	0
1	Lejeune	Newcastle	DEF	9,8	1	0
1	Cameron	Stoke	DEF	5,2	0	0
1	Stafylidis	Stoke	DEF	9,3	1	0
1	Bartley	Swansea	DEF	6,9	0	0
1	Prodl	Watford	DEF	7,4	0	0
1	Britos	Watford	DEF	8,1	1	0
1	Kiko Femenia	Watford	DEF	6,2	1	0
1	Collins	West Ham	DEF	9	1	0
1	Mavropanos	Arsenal	DEF	8,3	0	0
1	Mings	Bournemouth	DEF	10	0	0
1	Suttner	Brighton	DEF	6,5	0	0
1	Taylor	Burnley	DEF	8,2	0	0
1	Jach	Crystal Palace	DEF	5,1	0	0
1	Delaney	Crystal Palace	DEF	2,3	0	0
1	Hefele	Huddersfield	DEF	6	0	0
1	Benalouane	Leicester	DEF	6,8	1	0
1	Dummett	Newcastle	DEF	5,4	0	0
1	Manquillo	Newcastle	DEF	6,5	0	0
1	Pied	Southampton	DEF	7,7	1	0
1	McQueen	Southampton	DEF	8,4	1	0
1	Kaboul	Watford	DEF	8,9	1	0
1	Gabr	West Brom	DEF	4,6	1	0
1	Ogbonna	West Ham	DEF	3,2	0	0
1	Byram	West Ham	DEF	2,6	1	0
1	Masuaku	West Ham	DEF	7,4	0	0
1	Long	Burnley	DEF	8	0	0
1	Kelly	Crystal Palace	DEF	8,2	1	0
1	Martina	Everton	DEF	3,7	1	0
1	Klavan	Liverpool	DEF	9,3	1	0
1	Bednarek	Southampton	DEF	8,1	1	0
1	Johnson	Stoke	DEF	10	1	0
1	Mariappa	Watford	DEF	9,9	1	0
1	Evra	West Ham	DEF	2	0	0
1	Osei-Tutu	Arsenal	DEF	4,6	0	0
1	Simpson	Bournemouth	DEF	5,5	0	0
1	Bardsley	Burnley	DEF	4,3	0	0
1	Chalobah	Chelsea	DEF	2,8	1	0
1	Garbutt	Everton	DEF	4,1	1	0
1	Holgate	Everton	DEF	8,6	0	0
1	Hughes	Leicester	DEF	2	0	0
1	Masterson	Liverpool	DEF	7,7	1	0
1	Adarabioyo	Man City	DEF	6,1	0	0
1	Edwards	Stoke	DEF	3,8	0	0
1	Wimmer	Stoke	DEF	2,4	0	0
1	Roberts	Swansea	DEF	5,1	0	0
1	Walker-Peters	Spurs	DEF	6,7	0	0
1	Zeegelaar	Watford	DEF	7,9	1	0
1	Mukena	Watford	DEF	7,2	0	0
1	Ferguson	West Brom	DEF	8,3	0	0
1	Jameson	West Brom	DEF	9,2	0	0
1	Pask	West Ham	DEF	6	1	0
1	Brad Smith	Bournemouth	DEF	3,4	1	0
1	Rosenior	Brighton	DEF	7,3	0	0
1	Goldson	Brighton	DEF	3,6	1	0
1	Kenny	Everton	DEF	6,9	1	0
1	Stankovic	Huddersfield	DEF	6,3	0	0
1	Gamez	Newcastle	DEF	4	0	0
1	Haidara	Newcastle	DEF	2,8	1	0
1	Mbemba	Newcastle	DEF	8,2	0	0
1	Rangel	Swansea	DEF	3,4	0	0
1	Hunemeier	Brighton	DEF	9,4	1	0
1	Sanchez	Man Utd	MID	2,3	0	0
1	Hazard	Chelsea	MID	3,6	0	0
1	Salah	Liverpool	MID	10	2	0
1	De Bruyne	Man City	MID	6,3	0	0
1	Eriksen	Spurs	MID	7,7	1	0
1	Mane	Liverpool	MID	3,8	2	0
1	Ozil	Arsenal	MID	6,7	2	0
1	Sterling	Man City	MID	8,9	0	0
1	Alli	Spurs	MID	8,4	1	0
1	Mahrez	Leicester	MID	9,5	1	0
1	Sane	Man City	MID	8,6	0	0
1	David Silva	Man City	MID	2,6	2	0
1	Son	Spurs	MID	10	2	0
1	Sigurdsson	Everton	MID	9,3	0	0
1	Pogba	Man Utd	MID	9,9	1	0
1	Martial	Man Utd	MID	2,2	1	0
1	Mkhitaryan	Arsenal	MID	5,3	1	0
1	Pedro	Chelsea	MID	6	2	0
1	Lucas Moura	Spurs	MID	5,4	1	0
1	Antonio	West Ham	MID	7,2	1	0
1	Barkley	Chelsea	MID	7,9	2	0
1	Lallana	Liverpool	MID	4,9	0	0
1	Bernardo Silva	Man City	MID	5,4	0	0
1	Zaha	Crystal Palace	MID	2,5	0	0
1	Arnautovic	West Ham	MID	9	2	0
1	Willian	Chelsea	MID	2,6	2	0
1	Cazorla	Arsenal	MID	5,5	1	0
1	Klaassen	Everton	MID	2,3	0	0
1	Ramsey	Arsenal	MID	3,8	0	0
1	Fabregas	Chelsea	MID	4	1	0
1	Mata	Man Utd	MID	5,5	1	0
1	Andre Ayew	Swansea	MID	8,3	0	0
1	Walcott	Everton	MID	6,8	2	0
1	Wijnaldum	Liverpool	MID	2	0	0
1	Lanzini	West Ham	MID	4,3	1	0
1	Bolasie	Everton	MID	7,3	0	0
1	Lamela	Spurs	MID	8,8	1	0
1	Tadic	Southampton	MID	4,2	1	0
1	Shaqiri	Stoke	MID	9	2	0
1	Yaya Tour̩	Man City	MID	6,2	0	0
1	Lingard	Man Utd	MID	3,6	2	0
1	Joao Mario	West Ham	MID	6,7	0	0
1	Izquierdo	Brighton	MID	9,9	2	0
1	Grob	Brighton	MID	4,8	0	0
1	Silva	Leicester	MID	3,5	0	0
1	Redmond	Southampton	MID	4,4	2	0
1	Pereyra	Watford	MID	6,9	0	0
1	Richarlison	Watford	MID	8,9	0	0
1	Stanislas	Bournemouth	MID	2,6	0	0
1	Kachunga	Huddersfield	MID	9,9	2	0
1	Iborra	Leicester	MID	2,4	1	0
1	Boufal	Southampton	MID	5,4	1	0
1	Townsend	Crystal Palace	MID	7	1	0
1	Chadli	West Brom	MID	8,9	2	0
1	Knockaert	Brighton	MID	5	2	0
1	Ince	Huddersfield	MID	8,6	2	0
1	Albrighton	Leicester	MID	8,7	0	0
1	Chamberlain	Liverpool	MID	4,8	1	0
1	Deulofeu	Watford	MID	2,9	0	0
1	Defour	Burnley	MID	5,5	0	0
1	Hendrick	Burnley	MID	6,7	2	0
1	Lennon	Burnley	MID	4,7	0	0
1	Pritchard	Huddersfield	MID	7,6	2	0
1	Gundogan	Man City	MID	5	0	0
1	Ritchie	Newcastle	MID	9	0	0
1	Jese	Stoke	MID	9,4	2	0
1	Carrillo	Watford	MID	3,6	1	0
1	Phillips	West Brom	MID	2,4	1	0
1	Propper	Brighton	MID	2,9	0	0
1	Brady	Burnley	MID	3,6	2	0
1	Nkoudou	Burnley	MID	3,3	2	0
1	Cabaye	Crystal Palace	MID	7,4	1	0
1	Vlasic	Everton	MID	9	2	0
1	Gray	Leicester	MID	9,7	1	0
1	Henderson	Liverpool	MID	9,9	0	0
1	Sissoko	Spurs	MID	3,8	1	0
1	Morrison	West Brom	MID	7,9	2	0
1	Noble	West Ham	MID	6,3	1	0
1	Brown	Brighton	MID	8,3	1	0
1	Milivojevic	Crystal Palace	MID	10	1	0
1	Mooy	Huddersfield	MID	4,8	1	0
1	Shelvey	Newcastle	MID	6,3	0	0
1	Choupo-Moting	Stoke	MID	5,3	1	0
1	Fer	Swansea	MID	4,1	2	0
1	Doucoure	Watford	MID	8,1	1	0
1	Iwobi	Arsenal	MID	5,7	2	0
1	Xhaka	Arsenal	MID	9,8	2	0
1	Fraser	Bournemouth	MID	6,9	2	0
1	Walters	Burnley	MID	7,4	1	0
1	Davies	Everton	MID	8,1	2	0
1	Allen	Stoke	MID	5,9	2	0
1	Routledge	Swansea	MID	4,5	1	0
1	Wilshere	Arsenal	MID	8,9	0	0
1	Gudmundsson	Burnley	MID	3,1	0	0
1	Zinchenko	Man City	MID	7,5	1	0
1	Fernandinho	Man City	MID	4,4	1	0
1	Herrera	Man Utd	MID	9,1	2	0
1	Murphy	Newcastle	MID	2,1	0	0
1	Badou Ndiaye	Stoke	MID	9,8	0	0
1	Cleverley	Watford	MID	9,6	1	0
1	Brunt	West Brom	MID	5,3	2	0
1	Haksabanovic	West Ham	MID	2,5	1	0
1	Kouyate	West Ham	MID	3,9	0	0
1	Arfield	Burnley	MID	8,9	2	0
1	Kante	Chelsea	MID	2,8	2	0
1	Bakayoko	Chelsea	MID	3,8	0	0
1	McCarthy	Everton	MID	8,7	0	0
1	Ndidi	Leicester	MID	9,5	2	0
1	Can	Liverpool	MID	9,3	2	0
1	Merino	Newcastle	MID	5,7	1	0
1	Ward-Prowse	Southampton	MID	9,4	0	0
1	Dembele	Spurs	MID	4,1	0	0
1	Burke	West Brom	MID	8,9	0	0
1	Gosling	Bournemouth	MID	4	1	0
1	March	Brighton	MID	7,3	1	0
1	Rakip	Crystal Palace	MID	9,9	0	0
1	Sako	Crystal Palace	MID	8,2	0	0
1	Gueye	Everton	MID	3,1	0	0
1	Williams	Huddersfield	MID	3,3	2	0
1	Young	Man Utd	MID	6,5	0	0
1	Atsu	Newcastle	MID	4,8	1	0
1	Kenedy	Newcastle	MID	9,5	0	0
1	Lemina	Southampton	MID	6,2	2	0
1	Afellay	Stoke	MID	10	0	0
1	Wanyama	Spurs	MID	2	1	0
1	Winks	Spurs	MID	7	2	0
1	Lukebakio	Watford	MID	8,2	1	0
1	Capoue	Watford	MID	9,6	1	0
1	Livermore	West Brom	MID	5,7	2	0
1	Nelson	Arsenal	MID	5,6	2	0
1	Arter	Bournemouth	MID	3,2	0	0
1	Pugh	Bournemouth	MID	4,9	2	0
1	Skalak	Brighton	MID	9	0	0
1	Drinkwater	Chelsea	MID	6,3	0	0
1	Schneiderlin	Everton	MID	3,7	1	0
1	Sabiri	Huddersfield	MID	7,5	2	0
1	Foden	Man City	MID	9,8	2	0
1	Diaz	Man City	MID	6,9	0	0
1	Fellaini	Man Utd	MID	3	1	0
1	Matic	Man Utd	MID	8,4	0	0
1	Davis	Southampton	MID	6,5	0	0
1	Adam	Stoke	MID	5,5	1	0
1	Fletcher	Stoke	MID	5,1	1	0
1	Clucas	Swansea	MID	7,1	0	0
1	Narsingh	Swansea	MID	8	0	0
1	Dier	Spurs	MID	2,8	1	0
1	Krychowiak	West Brom	MID	9,3	2	0
1	McClean	West Brom	MID	3,2	1	0
1	Ibe	Bournemouth	MID	7,7	1	0
1	Diame	Newcastle	MID	5,4	2	0
1	Ki Sung-yueng	Swansea	MID	2,7	2	0
1	Hughes	Watford	MID	8,1	2	0
1	Maitland-Niles	Arsenal	MID	2,2	2	0
1	Willock	Arsenal	MID	10	1	0
1	Hyndman	Bournemouth	MID	4,1	0	0
1	Butcher	Bournemouth	MID	5,1	1	0
1	Taylor	Bournemouth	MID	4,8	1	0
1	Molumby	Brighton	MID	8	0	0
1	Stephens	Brighton	MID	5,3	0	0
1	Cork	Burnley	MID	8,2	2	0
1	O'Neill	Burnley	MID	7,5	1	0
1	Ampadu	Chelsea	MID	8,8	1	0
1	Hudson-Odoi	Chelsea	MID	3,2	1	0
1	Wan-Bissaka	Crystal Palace	MID	8,1	1	0
1	Kirby	Crystal Palace	MID	5,1	0	0
1	Baningime	Everton	MID	4,2	2	0
1	Scannell	Huddersfield	MID	2	0	0
1	Thomas	Leicester	MID	2,8	1	0
1	Barnes	Leicester	MID	3,1	2	0
1	Jones	Liverpool	MID	7,8	1	0
1	Camacho	Liverpool	MID	3,8	0	0
1	Delph	Man City	MID	8,4	1	0
1	Ireland	Stoke	MID	3,3	2	0
1	Sobhi	Stoke	MID	4,2	0	0
1	Sorenson	Stoke	MID	7,9	2	0
1	Oakley-Boothe	Spurs	MID	2,6	2	0
1	Stewart	Watford	MID	3,9	1	0
1	Ndong	Watford	MID	6,5	1	0
1	Leko	West Brom	MID	7,4	2	0
1	Harper	West Brom	MID	7,8	0	0
1	Cullen	West Ham	MID	9	2	0
1	Browne	West Ham	MID	2	0	0
1	Diangana	West Ham	MID	2,4	2	0
1	Kayal	Brighton	MID	7,7	2	0
1	Marney	Burnley	MID	6,1	2	0
1	Lumeka	Crystal Palace	MID	3,6	1	0
1	Loftus-Cheek	Crystal Palace	MID	2,5	0	0
1	Puncheon	Crystal Palace	MID	3,4	0	0
1	McArthur	Crystal Palace	MID	3,1	1	0
1	van La Parra	Huddersfield	MID	9,9	2	0
1	Hogg	Huddersfield	MID	6,3	1	0
1	Billing	Huddersfield	MID	2,2	2	0
1	Choudhury	Leicester	MID	9,2	2	0
1	James	Leicester	MID	4,2	0	0
1	Britton	Swansea	MID	4,2	2	0
1	Dyer	Swansea	MID	3,9	1	0
1	Barry	West Brom	MID	4,6	0	0
1	Field	West Brom	MID	6,2	1	0
1	Quina	West Ham	MID	9,6	2	0
1	Johnson	West Ham	MID	6,7	1	0
1	Surman	Bournemouth	MID	6,7	2	0
1	Lewis Cook	Bournemouth	MID	8,7	1	0
1	Westwood	Burnley	MID	9,3	0	0
1	Scott	Chelsea	MID	4,9	0	0
1	Lokilo	Crystal Palace	MID	2,6	2	0
1	Amartey	Leicester	MID	8,4	2	0
1	Hayden	Newcastle	MID	3,2	2	0
1	Hojbjerg	Southampton	MID	3,1	0	0
1	Sims	Southampton	MID	9,6	0	0
1	Sanches	Swansea	MID	2,3	0	0
1	Carroll	Swansea	MID	9,5	1	0
1	Yacob	West Brom	MID	6,6	0	0
1	Fernandes	West Ham	MID	9,2	2	0
1	Elneny	Arsenal	MID	9,7	2	0
1	Sidwell	Brighton	MID	3,5	2	0
1	Lee Chung-yong	Crystal Palace	MID	7,8	0	0
1	Whitehead	Huddersfield	MID	8,3	1	0
1	Woodburn	Liverpool	MID	7,7	1	0
1	Carrick	Man Utd	MID	4,7	1	0
1	McTominay	Man Utd	MID	2,2	0	0
1	Oriol Romeu	Southampton	MID	9,4	2	0
1	King	Swansea	MID	6	0	0
1	Chalobah	Watford	MID	7,4	0	0
1	Obiang	West Ham	MID	6,1	1	0
1	Kane	Spurs	FOR	9,8	0	0
1	Aguero	Man City	FOR	4,3	1	0
1	Lukaku	Man Utd	FOR	5,8	2	0
1	Aubameyang	Arsenal	FOR	7,5	2	0
1	Morata	Chelsea	FOR	9,2	1	0
1	Jesus	Man City	FOR	3,8	3	0
1	Lacazette	Arsenal	FOR	6,3	2	0
1	Firmino	Liverpool	FOR	2,9	0	0
1	Vardy	Leicester	FOR	9,2	0	0
1	Giroud	Chelsea	FOR	8,8	0	0
1	Sturridge	West Brom	FOR	3,2	1	0
1	Defoe	Bournemouth	FOR	8,3	0	0
1	Benteke	Crystal Palace	FOR	5,8	0	0
1	Welbeck	Arsenal	FOR	4,7	1	0
1	Rashford	Man Utd	FOR	7,8	2	0
1	Llorente	Spurs	FOR	2,2	1	0
1	Rooney	Everton	FOR	2,7	1	0
1	King	Bournemouth	FOR	8,9	2	0
1	Tosun	Everton	FOR	7,4	1	0
1	Chicharito	West Ham	FOR	3,5	1	0
1	Slimani	Newcastle	FOR	5,3	1	0
1	Iheanacho	Leicester	FOR	5,5	1	0
1	Gray	Watford	FOR	2,4	0	0
1	Deeney	Watford	FOR	8,9	0	0
1	Wood	Burnley	FOR	9	0	0
1	Gabbiadini	Southampton	FOR	7,9	3	0
1	Gayle	Newcastle	FOR	2,7	1	0
1	Locadia	Brighton	FOR	4,2	0	0
1	Rondon	West Brom	FOR	5,1	0	0
1	Murray	Brighton	FOR	4,7	1	0
1	Carrillo	Southampton	FOR	6,5	0	0
1	Austin	Southampton	FOR	4,3	1	0
1	Vokes	Burnley	FOR	5	2	0
1	Carroll	West Ham	FOR	5,5	3	0
1	Wilson	Bournemouth	FOR	8,1	3	0
1	Long	Southampton	FOR	5,3	3	0
1	Bony	Swansea	FOR	5,1	1	0
1	Mounie	Huddersfield	FOR	6,7	1	0
1	Joselu	Newcastle	FOR	4,8	3	0
1	Berahino	Stoke	FOR	2,7	2	0
1	Barnes	Burnley	FOR	7,2	2	0
1	Sorloth	Crystal Palace	FOR	3,9	1	0
1	Wickham	Crystal Palace	FOR	6,4	3	0
1	Ings	Liverpool	FOR	6,2	1	0
1	Perez	Newcastle	FOR	6,8	2	0
1	Jordan Ayew	Swansea	FOR	9,6	0	0
1	Abraham	Swansea	FOR	4,9	1	0
1	Okazaki	Leicester	FOR	6,3	3	0
1	Okaka	Watford	FOR	9,1	3	0
1	Rodriguez	West Brom	FOR	2,2	2	0
1	Diouf	Stoke	FOR	2,6	0	0
1	Nketiah	Arsenal	FOR	3,1	2	0
1	Depoitre	Huddersfield	FOR	7	1	0
1	Mousset	Bournemouth	FOR	5,9	2	0
1	Baldock	Brighton	FOR	7	0	0
1	Wells	Burnley	FOR	9,6	2	0
1	Calvert-Lewin	Everton	FOR	2,4	2	0
1	Diabat̩	Leicester	FOR	6,5	0	0
1	Sinclair	Watford	FOR	7,9	0	0
1	Robson-Kanu	West Brom	FOR	2,5	2	0
1	Hugill	West Ham	FOR	6,8	0	0
1	Ulloa	Brighton	FOR	4,2	3	0
1	Crouch	Stoke	FOR	3,1	2	0
1	Hemed	Brighton	FOR	9,7	1	0
1	Niasse	Everton	FOR	7,9	3	0
1	Solanke	Liverpool	FOR	8,5	2	0
1	Daly	Crystal Palace	FOR	2,7	0	0
1	Quaner	Huddersfield	FOR	2,1	3	0
1	Nmecha	Man City	FOR	5,7	1	0
1	Obafemi	Southampton	FOR	9,9	0	0
1	Campbell	Stoke	FOR	5,1	1	0
1	Sterling	Spurs	FOR	6,2	3	0
1	Tulloch	West Brom	FOR	2,3	1	0
